resort_name,source,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Folgaria,Epic,"Trento, Italy",0.0,1,8,0,4,0,2,45.9295,11.1751,2026-03-24 12:55:00+00:00
Folgarida-Marilleva,Epic,"Trento, Italy",0.0,1,12,0,3,0,3,46.2932,10.8329,2026-03-24 12:55:00+00:00
Hakuba 47 Winter Sports Park,Epic,"Nagano, Japan",0.0,2,0,5,0,0,6,36.6688,137.8171,2026-03-24 13:42:10+00:00
Hakuba Cortina,Epic,"Nagano, Japan",0.0,1,0,4,0,0,5,36.7806,137.8802,2026-03-24 13:36:40+00:00
Hakuba Goryu,Epic,"Nagano, Japan",0.0,1,0,5,0,0,4,36.661,137.8237,2026-03-24 13:36:34+00:00
Hakuba Happo-one,Epic,"Nagano, Japan",0.0,1,0,5,0,0,7,36.6978,137.8163,2026-03-24 13:36:35+00:00
Hakuba Iwatake Snow Field,Epic,"Nagano, Japan",0.0,1,0,3,0,0,5,36.7208,137.8482,2026-03-24 13:36:40+00:00
Hakuba Norikura Onsen,Epic,"Nagano, Japan",0.0,1,0,3,0,0,5,36.7661,137.8725,2026-03-24 13:36:34+00:00
Hakuba Sanosaka,Epic,"Nagano, Japan",0.0,0,0,3,0,0,2,36.6263,137.8351,2026-03-24 13:43:01+00:00
Hakuba Valley Kashimayari,Epic,"Nagano, Japan",0.0,0,0,5,0,0,2,36.6018,137.8266,2026-03-24 13:42:55+00:00
Haute Nendaz,Epic,"Wallis, Switzerland",0.0,2,21,5,17,5,2,46.139,7.2971,2026-03-24 12:48:30+00:00
Heavenly,Epic,"California, United States",,0,0,0,0,7,1,38.9322,-119.9061,2026-03-24 12:24:39+00:00
Hidden Valley,Epic,"Missouri, United States",0.0,0,0,0,0,0,0,38.5361,-90.6567,2026-03-24 12:32:31+00:00
Hidden Valley,Epic,"Pennsylvania, United States",0.0,0,7,1,0,0,0,40.0539,-79.2571,2026-03-24 13:37:47+00:00
Hintertux,Epic,"Tirol, Austria",0.0,2,11,2,26,16,13,47.0799,11.6643,2026-03-24 13:42:37+00:00
Hotham,Epic,"Victoria, Australia",0.0,0,0,0,3,0,0,-36.9778,147.1341,2026-03-24 13:15:45+00:00
Hunter Mountain,Epic,"New York, United States",0.0,0,0,0,0,0,0,42.2008,-74.2232,2026-03-24 13:24:24+00:00
Jack Frost,Epic,"Pennsylvania, United States",0.0,0,2,0,0,0,0,41.1073,-75.6529,2026-03-24 13:24:24+00:00
